sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1
0,260.95,293.15
2678.4,260.8787664639999,291.3180660340942
5356.8,261.1777972169698,290.9247697202062
8035.200000000001,261.58586972858166,290.55571480204657
10713.6,262.03785551825473,290.2024887428635
13392,262.03863709090905,289.8394335872227
16070.400000000001,262.30940265890877,289.4866814042364
18748.8,262.54999999999995,289.1530662647821
21427.2,262.54999999999995,288.8088589414858
24105.600000000002,262.54999999999995,288.4698851816543
26784,262.71207736470586,288.15632312668754
28800,263.15,288.0674900900624
28800,263.15,288.0674900900624
29462.4,263.2975674111996,287.93563680641665
32140.800000000003,264.1351406938356,288.1074365774012
34819.200000000004,265.7626967295995,288.50894598241996
37497.6,267.15720000000067,289.00355747915427
40176,268.42199999999997,289.48174723211685
42854.4,269.68679999999927,289.7969355677498
45532.8,270.61097387520016,289.84316348133405
48211.200000000004,271.4839704831997,289.80740712654057
50889.6,272.04999999999995,289.7627831900838
53568,272.04999999999995,289.65192687742945
56246.4,272.04999999999995,289.45899510652754
58924.8,272.04999999999995,289.2185933635392
61603.200000000004,272.0354863639273,288.97173712405936
64281.600000000006,271.54417235549056,288.7049162841624
64800,271.45,288.6514079969618
64800,271.45,288.6514079969618
66960,271.1302181818182,288.661392036718
69638.40000000001,271.1801122454343,288.45085165824975
72316.8,272.04555854931226,288.31029606905383
74995.2,271.48610202747597,288.09967110025434
77673.6,271.8567200035314,287.9208804149683
80352,271.9024416,287.753797258025
83030.40000000001,271.42952920395305,287.54685171731217
85708.8,271.4808620959855,287.3644758650501
86400,271.45,287.318128653344
86400,271.45,287.318128653344
88387.2,270.18103629017713,287.1313703014796
91065.6,269.4475003102791,286.86159109730943
93744,270.3428391229236,286.71893372446607
96422.40000000001,269.8957444197211,286.51279318354506
99100.8,270.00510447542865,286.32249839736994
101779.2,270.76811482168847,286.17517643309617
104457.6,272.0576487214547,286.0889884356374
107136,272.0183287272727,285.9461402884487
109814.40000000001,272.3165445236361,285.81144820443006
112492.8,272.5604980293818,285.6919481114231
115171.2,272.54529380770896,285.56499554012845
115200,272.54999999999995,285.56393786266415
115200,272.54999999999995,285.56393786266415
117849.6,272.99160000000023,285.2607084706632
120528,273.438,285.2206353501585
123206.40000000001,273.9717865215994,285.1982241762227
125884.8,274.8472876288,285.2177354281314
128563.20000000001,274.84999999999997,285.2300025648301
131241.6,274.84999999999997,285.2440913903418
133920,274.71050285714284,285.2485715483007
136598.4,273.22356986368055,285.1528239144459
139276.80000000002,272.5721765203318,285.0407196976971
141955.2,273.0138317915266,284.9366855536586
144633.6,273.8175695820801,284.850121145064
147312,273.77991104,284.7059983363819
149990.4,272.7886197018953,284.5072345887793
151200,272.54999999999995,284.4121024701238
151200,272.54999999999995,284.4121024701238
152668.80000000002,272.97939071951527,284.5463427189982
155347.2,273.82734618982386,284.5011869182763
158025.6,274.1909657262082,284.42722666950823
160704,274.6334898285714,284.3635322498602
163382.4,275.0667137057389,284.3080871034084
166060.80000000002,275.2883320486954,284.25296302530637
168739.2,273.25437320347856,284.0730451036336
171417.6,273.15,283.95022907681795
172800,273.15,283.898877255536
172800,273.15,283.898877255536
174096,273.15,283.85114196103973
176774.4,273.15,283.7536709306256
179452.80000000002,273.15,283.6577302121245
182131.2,273.53966499141796,283.58010240173616
184809.6,273.6666856843634,283.5099985666855
187488,273.06199999999995,283.3947081242776
190166.4,272.2436000000004,283.25312610656596
192844.80000000002,271.42519999999973,283.10069802317355
195523.2,270.6068000000002,282.9379457648533
198201.6,269.79673423359964,282.7673314455308
200880,269.8852,282.6699569952161
201600,269.84999999999997,282.6556079118375
201600,269.84999999999997,282.6556079118375
203558.4,269.21176092160056,282.3738083439793
206236.80000000002,268.67274515199995,282.2903637535113
208915.2,268.76466803199986,282.2949396300162
211593.6,269.1251370240002,282.3305515989206
214272,269.56216639999997,282.36308263369284
216950.4,270.0195654399997,282.39605364948466
219628.80000000002,270.34999999999997,282.43369199445533
222307.2,270.34999999999997,282.4517862902668
224985.6,270.34999999999997,282.4305549109182
227664,270.34999999999997,282.3635457436431
230342.4,270.34999999999997,282.2585498780464
233020.80000000002,270.34999999999997,282.1044777618126
235699.2,270.34999999999997,281.9409346227339
237600,270.34999999999997,281.8281616119156
237600,270.34999999999997,281.8281616119156
238377.6,270.34999999999997,281.95350814908727
241056,270.34999999999997,281.8780844399118
243734.4,270.34999999999997,281.7678862852418
246412.80000000002,270.34999999999997,281.65929173322223
249091.2,270.34999999999997,281.55239031194685
251769.6,270.34999999999997,281.4471397359263
254448,270.34999999999997,281.3435246782138
257126.40000000002,270.34999999999997,281.2415177093376
259200,270.34999999999997,281.1636366625328
259200,270.34999999999997,281.1636366625328
259804.80000000002,270.34999999999997,281.14113582662907
262483.2,270.34999999999997,281.04235049631905
265161.60000000003,270.34999999999997,280.9450341747817
267840,270.34999999999997,280.8492208290515
270518.4,270.32188198400013,280.75434395798214
273196.8,269.8674110719999,280.6356597131638
275875.2,269.84999999999997,280.5324895790784
278553.60000000003,269.84999999999997,280.435244778921
281232,269.86641599999996,280.3399195322606
283910.4,270.29708324072703,280.26901244425255
286588.8,270.30302614109087,280.21243338663066
288000,270.34999999999997,280.2043609052186
288000,270.34999999999997,280.2043609052186
289267.2,270.5507988223998,280.01017138066345
291945.60000000003,271.00216112374045,279.99650224827275
294624,271.3790414545454,280.02728614417674
297302.4,271.4223737965715,280.08373867816374
299980.8,271.6359314874183,280.14245292838746
302659.2,272.0892193163635,280.2188600473816
305337.60000000003,272.46946554181835,280.2952702321223
308016,272.6296693333333,280.3382483018751
310694.4,272.4275063505456,280.3474029405128
313372.8,272.0348870865454,280.3151320326854
316051.2,272.137579648,280.2552096161365
318729.60000000003,271.16582282007187,280.1245780963269
321408,270.042,279.9304583177704
324000,269.25,279.7532403258749
324000,269.25,279.7532403258749
324086.4,269.22360000000043,279.78158545280394
326764.8,268.40519999999975,279.79509239494536
329443.2,267.97916802114776,279.6523215118435
332121.60000000003,268.2911549467323,279.55440037757035
334800,268.75,279.47938644948016
337478.4,268.40104830836395,279.367610609511
340156.8,267.6131999999998,279.22037115306665
342835.2,266.7948000000002,279.0586859160408
345513.60000000003,265.9763999999995,278.8867091142126
345600,265.95,278.8809949664062
345600,265.95,278.8809949664062
348192,265.8498912,278.73613453398445
350870.4,266.18420141355716,278.62295203413066
353548.8,266.4539117703529,278.5193797930477
356227.2,265.9956264073848,278.37959478979866
358905.60000000003,264.9372311242908,278.1983357087141
361584,262.8439589565217,277.9454666125842
364262.4,260.4604501467439,277.62751227370234
366940.8,258.86677935908534,277.3249277681147
369619.2,258.12735243093334,277.05133660657344
372297.60000000003,258.5577946804153,276.8774358924436
374400,259.25,276.93315492461545
374400,259.25,276.93315492461545
374976,259.2766870153846,276.83374802186955
377654.4,259.09695663852256,277.06766223243363
380332.8,260.64966732005564,277.6358181589744
383011.2,262.35900211347075,278.33252821260834
385689.60000000003,264.0348122880008,279.0458331721603
388368,265.21185599999995,279.7116830416599
391046.4,266.0363999999995,280.33005888922554
393724.8,266.8548000000002,280.87403921616124
396403.2,267.69060627255624,281.317067176416
399081.60000000003,269.02482791624413,281.64816345067777
401760,269.856352173913,281.7177946522475
404438.4,269.5114296960005,281.6212216792678
407116.8,268.69719999999984,281.41300808551216
409795.2,268.2508000000001,281.20521935388837
410400,268.15,281.1587279372147
410400,268.15,281.1587279372147
412473.60000000003,267.8043999999997,281.22497095952866
415152,267.271984,281.0576950929074
417830.4,266.37960000000044,280.8589185804479
420508.8,265.56119999999976,280.65233442018433
423187.2,264.7428000000002,280.4363922428944
425865.60000000003,264.1564772608001,280.2177820335703
428544,264.20599999999996,280.04494881582764
431222.4,263.3876000000004,279.8204671443806
432000,263.15,279.7527111542126
432000,263.15,279.7527111542126
433900.8,262.56919999999974,279.58364532992454
436579.2,261.9297646848,279.3428863111397
439257.60000000003,262.0384739558182,279.1481264597531
441936,261.26367104537815,278.91036019155973
444614.4,260.0215396514917,278.6353061462086
447292.8,259.15949857745454,278.3488028242997
449971.2,259.2529925934546,278.12351065303835
452649.60000000003,258.85532735999976,277.87803427906596
