sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
0,260.95,293.15,0,260.95,293.15,0,260.95,293.15
2678.4,260.8787664639999,291.3180660340942,2678.4,260.8787664639999,289.6308805719066,2678.4,260.8787664639999,292.5303217262737
5356.8,261.1777972169698,290.9247697202062,5356.8,261.1777972169698,289.10645926732565,5356.8,261.1777972169698,292.80770074978045
8035.200000000001,261.58586972858166,290.55571480204657,8035.200000000001,261.58586972858166,288.62277237770303,8035.200000000001,261.58586972858166,293.10304002784704
10713.6,262.03785551825473,290.2024887428635,10713.6,262.03785551825473,288.1647335640945,10713.6,262.03785551825473,293.4074741787408
13392,262.03863709090905,289.8394335872227,13392,262.03863709090905,287.6851679342822,13392,262.03863709090905,293.6741866570538
16070.400000000001,262.30940265890877,289.4866814042364,16070.400000000001,262.30940265890877,287.2252041285794,16070.400000000001,262.30940265890877,293.1563107602494
18748.8,262.54999999999995,289.1530662647821,18748.8,262.54999999999995,286.79670370268457,18748.8,262.54999999999995,293.1499350212371
21427.2,262.54999999999995,288.8088589414858,21427.2,262.54999999999995,286.34792497152284,21427.2,262.54999999999995,293.1499557141633
24105.600000000002,262.54999999999995,288.4698851816543,24105.600000000002,262.54999999999995,285.90820346391206,24105.600000000002,262.54999999999995,293.1499903256097
26784,262.71207736470586,288.15632312668754,26784,262.71207736470586,285.5023946460997,26784,262.71207736470586,293.1514861268692
28800,263.15,288.0674900900624,28800,263.15,285.3581370806313,28800,263.15,293.1563818408008
28800,263.15,288.0674900900624,28800,263.15,285.3581370806313,28800,263.15,293.1563818408008
29462.4,263.2975674111996,287.93563680641665,29462.4,263.2975674111996,285.2116986253916,29462.4,263.2975674111996,293.16114862977474
32140.800000000003,264.1351406938356,288.1074365774012,32140.800000000003,264.1351406938356,285.317844173229,32140.800000000003,264.1351406938356,293.15781221699234
34819.200000000004,265.7626967295995,288.50894598241996,34819.200000000004,265.7626967295995,285.68225750009447,34819.200000000004,265.7626967295995,293.15814934172823
37497.6,267.15720000000067,289.00355747915427,37497.6,267.15720000000067,286.141122984954,37497.6,267.15720000000067,293.15550989359144
40176,268.42199999999997,289.48174723211685,40176,268.42199999999997,286.5786373270753,37829.538499102775,267.313948735687,293.1552820865643
42854.4,269.68679999999927,289.7969355677498,42854.4,269.68679999999927,286.8660791619638,37829.538499102775,267.313948735687,293.1552820865643
45532.8,270.61097387520016,289.84316348133405,45532.8,270.61097387520016,286.89148122823366,37833.11627658897,267.31563824172224,293.1552833594899
48211.200000000004,271.4839704831997,289.80740712654057,48211.200000000004,271.4839704831997,286.8377237472967,37833.11627658897,267.31563824172224,293.1552833594899
50889.6,272.04999999999995,289.7627831900838,50889.6,272.04999999999995,286.776596458173,40176,268.42199999999997,293.3570597295762
53568,272.04999999999995,289.65192687742945,53568,272.04999999999995,286.6199144347011,42854.4,269.68679999999927,293.5000662238603
56246.4,272.04999999999995,289.45899510652754,56246.4,272.04999999999995,286.3859278763161,45532.8,270.61097387520016,293.38516043763843
58924.8,272.04999999999995,289.2185933635392,58924.8,272.04999999999995,286.10981486982814,48211.200000000004,271.4839704831997,293.193526599821
61603.200000000004,272.0354863639273,288.97173712405936,61603.200000000004,272.0354863639273,285.83006057018605,50889.6,272.04999999999995,293.1475277334477
64281.600000000006,271.54417235549056,288.7049162841624,64281.600000000006,271.54417235549056,285.5117681880318,53568,272.04999999999995,293.1465515690412
64800,271.45,288.6514079969618,64800,271.45,285.4471153959792,56246.4,272.04999999999995,293.14683630673505
